DApp,Type,Status (0 means inaccessible),Label,,,,,,,,,,
Xiasi inu,AL,0,highrisk,,,,,,,,,,
3Landers,VNA,0,,,,,,,,,,,
Art Gobblers,VNA,1,,,,,,,,,,,
Capsule House,VNA,1,,,,,,,,,,,
Chain Runners NFT,VNA,1,,,,,,,,,,,
Collect Trump Cards,VNA,1,,,,,,,,,,,
Contract Servant,VNA,0,,,,,,,,,,,
CryptoNinjaPartners,VNA,0,,,,,,,,,,,
Dark Country,VNA,1,,,,,,,,,,,
Dippies Official NFT,VNA,1,,,,,,,,,,,
Dooplicator,VNA,0,,,,,,,,,,,
Fang Gang,VNA,1,,,,,,,,,,,
Gambling Apes Official,VNA,1,,,,,,,,,,,
GEVOLs,VNA,1,,,,,,,,,,,
Gods Unchained,VNA,1,,,,,,,,,,,
Gooniez Gang Official,VNA,0,,,,,,,,,,,
HeadDAO,VNA,1,,,,,,,,,,,
Hippo Dash by Gameta,VNA,1,,,,,,,,,,,
HiPrecious,VNA,1,,,,,,,,,,,
Impostors Genesis Aliens,VNA,1,,,,,,,,,,,
Infinity Star,VNA,1,,,,,,,,,,,
iNFT Personality Pod by Alethea AI,VNA,1,,,,,,,,,,,
Kaiju Kingz,VNA,1,,,,,,,,,,,
Light Trail Rush - LTR,VNA,1,,,,,,,,,,,
Lil Pudgys,VNA,1,,,,,,,,,,,
Metroverse,VNA,1,,,,,,,,,,,
Mojo Melee,VNA,1,,,,,,,,,,,
Neo Tokyo Identities,VNA,1,,,,,,,,,,,
NIFTYMOJI,VNA,1,,,,,,,,,,,
Nouns,VNA,1,,,,,,,,,,,
Nuclear Nerds V2,VNA,1,,,,,,,,,,,
Project Godjira Gen 2,VNA,1,,,,,,,,,,,
Psychedelics Anonymous Genesis,VNA,1,,,,,,,,,,,
Purrnelopes Country Club,VNA,1,,,,,,,,,,,
Rare Apepes,VNA,1,,,,,,,,,,,
Redacted Remilio Babies,VNA,0,,,,,,,,,,,
RTFKT x Nike Dunk Genesis CRYPTOKICKS,VNA,1,,,,,,,,,,,
Spells of Genesis,VNA,1,,,,,,,,,,,
Stoner Cats,VNA,1,,,,,,,,,,,
The Greats V3,VNA,1,,,,,,,,,,,
the littles NFT,VNA,1,,,,,,,,,,,
The Mike Tyson NFT Collection,VNA,1,,,,,,,,,,,
The n project,VNA,0,,,,,,,,,,,
The Wicked Craniums,VNA,1,,,,,,,,,,,
VeeFriends Series 2,VNA,1,,,,,,,,,,,
We Are All Going to Die,VNA,1,,,,,,,,,,,
Wolf Game - Farmer,VNA,1,,,,,,,,,,,
Women and Weapons,VNA,1,,,,,,,,,,,
WonderPals,VNA,1,,,,,,,,,,,
WVRPS by WarpSound (Official),VNA,1,,,,,,,,,,,
Battle Racers,CDS,1,,,,,,,,,,,
Blocklete Golf,CDS,1,,,,,,,,,,,
BoringDAO,CDS,1,,,,,,,,,,,
CompliFi,CDS,0,,,,,,,,,,,
Crypto Ninja,CDS,1,,,,,,,,,,,
CryptoAssault,CDS,1,,,,,,,,,,,
CryptoFights,CDS,1,,,,,,,,,,,
CryptoKitties,CDS,0,,,,,,,,,,,
CryptoMibs,CDS,1,,,,,,,,,,,
Damien Hirst - The Currency,CDS,1,,,,,,,,,,,
DARK FOREST,CDS,0,,,,,,,,,,,
